Product,Version,Type,Grouping,Subfolder,URL part,,New Grouping,New Subfolder,Noun,Apply Pattern,Renamed Command,,New URL,Old URL
IRT,v1,Query,data-transfer,ClientRaveErrorNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/client-rave-error-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/ClientRaveErrorNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericDemographicsNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-demographics-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericDemographicsNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericDemographicsNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-demographics-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericDemographicsNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericDemographicsNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-demographics-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericDemographicsNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericDemographicsNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-demographics-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericDemographicsNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericDemographicsNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-demographics-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericDemographicsNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericDemographicsNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-demographics-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericDemographicsNotification/Queries/SiteName
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-drug-dispensation-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericDrugDispensationNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-drug-dispensation-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericDrugDispensationNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-drug-dispensation-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericDrugDispensationNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-drug-dispensation-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericDrugDispensationNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-drug-dispensation-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericDrugDispensationNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-drug-dispensation-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericDrugDispensationNotification/Queries/SiteName
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-enrollment-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericEnrollmentNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-enrollment-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericEnrollmentNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-enrollment-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericEnrollmentNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-enrollment-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericEnrollmentNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-enrollment-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericEnrollmentNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-enrollment-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericEnrollmentNotification/Queries/SiteName
IRT,v1,Query,data-transfer,GenericRandomizationNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-randomization-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericRandomizationNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericRandomizationNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-randomization-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericRandomizationNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericRandomizationNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-randomization-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericRandomizationNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericRandomizationNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-randomization-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericRandomizationNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericRandomizationNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-randomization-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericRandomizationNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericRandomizationNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-randomization-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericRandomizationNotification/Queries/SiteName
